Frames#,Latency (ms)
0,3101.3921
1,3175.2759
2,3255.1329
3,3335.5148
4,3415.7957
5,3496.0788
6,3575.4128
7,3655.7339
8,3736.2381
9,3816.8583
10,3896.1889
11,3976.6809
12,4056.6988
13,4136.9963
14,4217.8826
15,4298.4484
16,4378.5391
17,4459.2311
18,4539.8195
19,4619.7967
20,4700.099
21,4780.6383
22,4861.4232
23,4941.9552
24,5022.5455
25,5102.7819
26,5183.5161
27,5263.961
28,5344.4732
29,5425.0123
30,5506.1356
31,5586.7575
32,5667.0359
33,5747.6962
34,5826.2192
35,5906.352
36,5987.1392
37,6067.7629
38,6212.9569
39,6293.8763
40,6374.3924
41,6450.9543
42,6530.0462
43,6610.7193
44,6692.607
45,6774.4976
46,6856.2289
47,6938.0809
48,7020.0854
49,7101.5032
50,7183.4543
51,7265.4155
52,7344.5735
53,7418.6004
54,7500.5644
55,7582.4258
56,7664.0772
57,7745.9765
58,7827.9004
59,7909.2917
60,7991.429
61,8073.7862
62,8156.2792
63,8239.5046
64,8321.1371
65,8402.367
66,8482.7692
67,8564.8715
68,8646.3827
69,8728.8668
70,8810.9755
71,8893.3543
72,8975.1609
73,9057.6353
74,9139.3937
75,9221.9096
76,9303.8364
77,9386.1413
78,9468.018
79,9550.1581
80,9630.3403
81,9711.8786
82,9793.9137
83,9876.0053
84,9959.8092
85,10042.1477
86,10124.2173
87,10205.7909
88,10287.7011
89,10368.5716
90,10450.0084
91,10531.3084
92,10612.4395
93,10694.255
94,10769.5604
95,10840.6104
96,10916.5033
97,10997.9937
98,11079.2458
99,11161.0304
100,11242.2808
101,11324.317
102,11405.3982
103,11487.3815
104,11566.0835
105,11642.4023
106,11724.3308
107,11806.3354
108,11888.4566
109,11970.6917
110,12052.7575
111,12134.9067
112,12217.0349
113,12298.7244
114,12380.6441
115,12462.8747
116,12545.0751
117,12627.1959
118,12709.1555
119,12791.3124
120,12873.7137
121,12956.1187
122,13038.492
123,13121.0277
124,13203.469
125,13285.6498
126,13368.739
127,13450.9589
128,13533.3842
129,13615.354
130,13698.217
131,13780.4484
132,13862.8581
133,13945.2431
134,14027.5454
135,14110.0158
136,14192.5244
137,14274.8437
138,14357.2802
139,14439.6505
140,14521.7888
141,14603.9222
142,14686.2091
143,14768.1905
144,14849.9861
145,14931.2133
146,15013.0681
147,15095.3064
148,15177.2547
149,15259.2523
150,15341.4647
151,15423.0804
152,15504.6819
153,15583.8625
154,15655.9441
155,15738.2253
156,15820.3655
157,15902.5628
158,15984.659
159,16066.8756
160,16149.0449
161,16231.211
162,16313.1213
163,16395.645
164,16477.7428
165,16559.9836
166,16642.1956
167,16724.1338
168,16806.4385
169,16889.1403
170,16971.2656
