Frames#,Latency (ms)
0,6244.7171
1,6309.0807
2,6386.4993
3,6466.985
4,6547.1907
5,6627.6356
6,6707.9345
7,6788.3163
8,6868.8723
9,6949.1899
10,7029.5506
11,7110.0983
12,7189.9809
13,7270.2869
14,7349.0449
15,7427.2672
16,7504.8149
17,7578.2869
18,7658.352
19,7738.8401
20,7817.6819
21,7896.7174
22,7976.9951
23,8057.5478
24,8138.1196
25,8218.6698
26,8299.5201
27,8379.7043
28,8460.2805
29,8541.3151
30,8621.4445
31,8702.6505
32,8804.7194
33,8885.6715
34,8966.6816
35,9047.2089
36,9128.0899
37,9208.7819
38,9289.128
39,9370.8271
40,9452.053
41,9533.2086
42,9614.8425
43,9696.7487
44,9778.5738
45,9860.2604
46,9942.2625
47,10023.9418
48,10104.9732
49,10186.6658
50,10268.3393
51,10350.1236
52,10431.6702
53,10494.067
54,10572.4769
55,10653.5876
56,10735.1705
57,10817.0049
58,10898.8022
59,10980.7532
60,11063.0276
61,11145.3791
62,11218.2742
63,11297.9531
64,11369.0151
65,11445.6773
66,11528.033
67,11610.4522
68,11692.3291
69,11774.5457
70,11856.9785
71,11939.462
72,12021.9151
73,12105.7921
74,12187.9745
75,12270.4119
76,12351.5417
77,12433.8657
78,12516.1617
79,12598.5064
80,12680.704
81,12761.9447
82,12843.7826
83,12925.9814
84,13008.2873
85,13090.3397
86,13172.2316
87,13254.1852
88,13335.7428
89,13417.7243
90,13499.6647
91,13581.7608
92,13663.4302
93,13745.3541
94,13827.4492
95,13909.5581
96,13991.6708
97,14073.3929
98,14155.0345
99,14235.3237
100,14317.4438
101,14399.741
102,14482.012
103,14563.4403
104,14645.6219
105,14727.3494
106,14809.9389
107,14886.1593
108,14968.011
109,15049.9804
110,15132.1305
111,15214.2809
112,15296.5665
113,15380.8027
114,15462.9968
115,15545.1409
116,15627.1069
117,15709.0345
118,15791.7337
119,15873.3298
120,15955.4563
121,16037.8239
122,16120.438
123,16202.7897
124,16285.235
125,16367.5467
126,16450.0186
127,16532.2378
128,16614.7926
129,16696.9491
130,16779.3205
131,16861.8176
132,16943.7288
133,17025.9216
134,17108.4536
135,17191.2492
136,17274.1831
137,17356.5756
138,17438.961
139,17521.1516
140,17603.5
141,17685.6426
142,17767.7473
143,17850.2628
144,17932.1314
145,18013.3908
146,18095.5098
147,18177.7154
148,18259.8744
149,18342.0843
150,18423.9099
151,18505.7066
152,18587.9409
153,18670.1061
154,18752.8311
155,18834.8997
156,18916.7676
157,19010.6383
158,19089.2138
159,19171.2911
160,19253.4734
161,19335.2604
162,19417.2918
163,19499.6257
164,19581.8151
165,19664.0354
166,19746.0889
167,19827.6054
168,19910.3716
169,19992.6014
170,20074.5081
171,20156.4061
172,20238.6772
173,20320.5559
174,20402.9261
175,20485.0875
176,20567.101
177,20649.263
178,20732.0406
179,20813.5876
180,20896.0263
181,20979.45
182,21061.8942
183,21144.6576
184,21226.7983
185,21309.184
186,21391.7455
187,21474.3428
188,21556.4441
189,21638.9043
190,21721.3267
191,21803.8309
192,21886.3545
193,21968.9103
194,22051.4661
195,22134.0416
196,22216.594
197,22299.1707
198,22381.6841
199,22464.3603
200,22546.3435
201,22630.0213
202,22711.9786
203,22794.022
204,22875.998
205,22954.3357
206,23036.4483
207,23118.6947
208,23200.8824
209,23283.1636
210,23365.3352
211,23446.9398
212,23529.0966
213,23611.3504
214,23693.4031
215,23775.6539
216,23857.7696
217,23939.6842
218,24021.6883
219,24103.7919
220,24185.665
221,24267.9708
222,24349.7675
223,24431.4979
224,24513.72
225,24596.1065
226,24678.4859
227,24760.6716
228,24842.3806
