Frames#,Latency (ms)
0,4251.733
1,10618.0092
2,4502.4583
3,4277.0578
4,10247.5924
5,10633.6602
6,10713.2403
7,6828.7936
8,6909.0891
9,10751.0117
10,3718.4322
11,10199.4915
12,10789.5204
13,10870.2635
14,5773.1492
15,12592.7074
16,6840.1934
17,10172.5966
18,4056.3214
19,4238.8365
20,6854.7585
21,3583.8953
22,4276.4017
23,5985.4437
24,8191.5509
25,3600.6842
26,4293.4795
27,4374.2058
28,4658.35
29,6765.7432
30,2473.2437
31,11845.5822
32,12638.7045
33,4654.1014
34,8081.7862
35,12263.2946
36,8137.8322
37,6696.167
38,11796.7821
39,11879.1226
40,11960.9842
41,15095.6291
42,15173.8006
43,6666.7092
44,5632.5182
45,5204.2841
46,5693.103
47,12106.7782
48,12392.0627
49,12169.1346
50,5715.9404
51,3966.63
52,8005.1986
53,13983.9389
54,14985.9894
55,8317.0002
56,8399.1237
57,4220.2657
58,8461.8308
59,8544.1465
60,12223.1653
61,13931.2242
62,10357.4038
63,10440.2881
64,12249.7916
65,1828.102
66,4864.0213
67,1892.2374
68,14110.386
69,1956.2507
70,10410.2648
71,7708.9828
72,7487.0779
73,14727.0893
74,4815.437
75,13769.7829
76,10398.5982
77,14042.4019
78,1888.6024
79,3500.1152
80,12354.6256
81,12437.0315
82,15062.9623
83,15145.2841
84,14009.1713
85,13679.3793
86,12440.7831
87,15169.2545
88,14031.1026
89,3711.2548
90,6327.0647
91,7425.3334
92,6384.6193
93,6460.4601
94,12374.1486
95,15204.2365
96,14371.8625
97,7906.2274
98,12701.226
99,1568.4364
100,7339.1943
101,1630.7336
102,9980.2866
103,15147.0521
104,7869.8673
105,10024.6956
106,7933.9215
107,9072.4063
108,15152.047
109,10048.8345
110,14806.6947
111,1535.5639
112,3350.3325
113,15155.0629
114,6150.5172
115,7859.557
116,8998.5667
117,3356.6046
118,6175.5791
119,12394.1611
120,11258.0767
121,13987.2525
122,3363.5987
123,15371.6427
124,14032.5878
125,15435.5626
126,14096.4542
127,15499.5276
128,12327.1098
129,14954.6706
130,8836.7777
131,15526.4814
132,9713.0791
133,4980.3543
134,5061.9844
135,15551.6804
136,3202.033
137,15615.3868
138,8786.6464
139,5068.9199
140,12201.6008
141,5132.2025
142,15621.8382
143,11534.7943
144,11617.1726
145,10886.7274
146,15643.2294
147,14709.7139
148,14790.9672
149,15685.2232
150,5055.4794
151,15748.3006
152,10848.4934
153,11540.2207
154,15788.1336
155,15862.0362
156,15943.6298
157,16022.72
158,16077.0495
159,16159.4554
160,16241.7272
161,16323.5167
162,16405.9263
163,16502.5113
164,16584.8977
165,16667.1204
166,16749.3148
167,16831.5948
168,16913.6272
169,16995.1414
170,17077.8931
171,17160.2889
172,17242.6912
173,17325.1289
174,17405.8967
175,17488.2447
176,17570.6016
177,17653.1652
178,17735.6081
179,17817.7807
180,17900.4467
181,17982.8905
182,18065.6886
183,18148.5643
184,18231.0694
185,18313.6295
186,18396.7516
187,18479.3334
188,18562.0665
189,18644.7282
190,18727.2787
191,18809.0871
192,18891.6401
193,18970.9137
194,19053.5098
195,19135.6149
196,19217.754
197,19300.2474
198,19382.8873
199,19465.6788
200,19547.4947
201,19629.4504
202,19711.1447
203,19793.5328
204,19875.6086
205,19947.7852
206,20029.7598
207,20111.734
208,20194.0076
209,20276.3743
210,20357.7416
211,20439.9117
212,20521.3797
213,20603.708
214,20685.549
215,20767.1459
216,20848.9709
217,20930.9859
218,21012.6565
219,21094.7716
220,21176.777
221,21258.9531
222,21341.2393
223,21423.8723
224,21506.5427
225,21588.6724
226,21670.7687
227,21752.8503
228,21835.0211
229,21917.1615
230,21999.4551
231,22080.8949
232,22163.305
233,22245.9765
234,22329.0857
235,22411.4283
236,22492.619
237,22574.7558
238,22656.9094
239,22739.2016
240,22821.5979
241,22903.0139
242,22984.7739
243,23067.0316
244,23149.3461
245,23231.3881
246,23319.7581
247,23401.7802
248,23482.1004
249,23561.8983
250,23644.3132
251,23726.6761
252,23808.3901
253,23890.219
254,23972.1029
255,24054.3455
256,24136.6656
257,24218.5165
258,24300.4397
259,24382.7327
260,24465.2054
261,24548.4748
262,24630.7583
263,24713.5861
264,24796.2693
265,24878.4396
266,24961.0697
267,25043.3314
268,25125.6597
269,25207.6614
270,25289.9674
271,25372.3329
272,25454.4426
273,25536.1714
274,25618.7042
275,25701.3385
276,25783.8168
277,25866.6194
278,25949.023
279,26031.5547
280,26113.8039
281,26196.1242
282,26278.4754
283,26360.9215
284,26443.1599
285,26525.3781
286,26607.4678
287,26689.6755
288,26771.6274
289,26853.5334
290,26935.974
291,27018.3155
292,27100.6349
293,27179.4289
294,27261.7072
295,27344.0608
296,27433.4663
297,27515.4413
298,27597.5327
299,27679.6397
300,27762.6415
301,27844.9286
302,27927.3447
303,28009.7453
304,28091.6284
305,28174.0326
306,28256.5672
307,28339.004
308,28421.5374
309,28504.1337
310,28586.8345
311,28668.899
312,28751.3647
313,28833.7646
314,28916.2237
315,28998.5571
316,29080.5535
317,46852.236
318,34526.7772
319,34609.2337
320,47201.6064
321,46268.7925
322,29067.3032
323,34837.6687
324,46313.6827
325,29518.476
326,46377.3462
327,29785.1934
328,46745.2347
329,34521.5048
330,34807.3727
331,29811.2475
332,28979.7027
333,46346.3545
334,33818.012
335,34509.7772
336,46391.4728
337,58678.0283
338,58758.8478
339,28946.1948
340,34716.3851
341,33783.1597
342,46881.847
343,29680.6136
344,29255.0746
345,29743.5561
346,46496.8889
347,29294.6421
348,46863.9773
349,47047.5598
350,28830.2164
351,34599.7635
352,46887.7992
353,36695.6855
354,46443.2232
355,47032.4882
356,28815.4621
357,33570.442
358,58467.3297
359,30381.4828
360,30463.666
361,58511.1057
362,58593.4402
363,58980.3343
364,33538.1412
365,30469.9995
366,35634.27
367,36528.5878
368,58986.7071
369,58561.8255
370,58644.4864
371,29747.339
372,46809.6326
373,30419.1892
374,35887.7796
375,58954.072
376,46833.8854
377,59018.064
378,58592.8878
379,36401.1
380,29677.0757
381,31182.0381
382,31262.6974
383,59002.6607
384,63453.4556
385,31308.1066
386,29662.9022
387,63804.4839
388,29017.7471
389,29099.8978
390,29689.4964
391,58954.8399
392,31278.7984
393,29126.5037
394,62860.3366
395,31323.7106
396,35572.4831
397,58943.8604
398,36143.8695
399,35617.6911
400,62849.3598
401,38220.2455
402,63622.8365
403,30357.7915
404,30441.7243
405,32047.4233
406,34974.6962
407,28960.5158
408,29854.3522
409,63081.3263
410,35505.7398
411,63549.5372
412,38108.1427
413,62698.0863
414,63085.1029
415,58697.4026
416,63655.9866
417,63128.4645
418,30271.0942
419,63699.7425
420,38049.593
421,63451.8213
422,38111.8732
423,31794.1079
