Frames#,Latency (ms)
0,9288.5671
1,9346.0482
2,9417.6194
3,9487.8273
4,9561.7626
5,9634.5518
6,9707.4459
7,9787.3113
8,9867.4254
9,9947.7075
10,10028.2348
11,10109.2605
12,10190.9894
13,10272.3868
14,10353.4219
15,10434.9112
16,10515.4769
17,10594.0453
18,10672.4963
19,10749.4508
20,10828.8272
21,10908.8754
22,10985.6264
23,11066.0081
24,11142.9223
25,11223.3724
26,11304.2567
27,11385.137
28,11465.8556
29,11546.9606
30,11628.9391
31,11704.9997
32,11786.912
33,11868.9165
34,11950.0298
35,12028.2817
36,12106.8361
37,8399.975
38,8382.431
39,8329.2439
40,8315.3139
41,12067.9363
42,8370.6565
43,8451.7623
44,8198.7586
45,8204.8029
46,8170.8982
47,8473.1576
48,8259.67
49,8217.9769
50,8514.2073
51,8297.7039
52,8379.6527
53,8234.7149
54,8120.1567
55,8500.7559
56,7955.6563
57,8558.5974
58,8639.7606
59,8113.9194
60,8180.5571
61,8261.8517
62,11722.54
63,8640.8036
64,8224.9031
65,7865.8881
66,8267.4189
67,7721.5112
68,7824.4189
69,8312.1594
70,7870.3911
71,7746.0275
72,8560.4474
73,7724.1612
74,7703.0927
75,7756.0354
76,7862.5524
77,7815.6388
78,8216.0976
79,7697.7244
80,11454.8278
81,7835.6756
82,7838.752
83,11484.9887
84,8402.4671
85,7883.5122
86,7551.6346
87,7810.3698
88,7885.2889
89,7967.7546
90,8379.287
91,7433.0637
92,7839.2406
93,7507.5569
94,11358.2684
95,7440.2649
96,7936.0335
97,7493.347
98,11408.4009
99,7358.6707
100,7763.8386
101,7431.7608
102,7486.5793
103,7279.0649
104,7776.4838
105,7722.2326
106,8134.0262
107,7404.7609
108,7764.8603
109,7442.2005
110,7759.1271
111,7504.7204
112,8117.7062
113,7802.5855
114,8180.8076
115,7140.0991
116,11138.0937
117,7088.5432
118,7564.1377
119,7769.079
120,7233.0028
121,7592.3591
122,7674.0939
123,8085.6876
124,8167.2834
125,7030.0038
126,7006.4516
127,6980.5904
128,8192.6821
129,7672.9056
130,10942.2281
131,7110.9254
132,7167.9177
133,6965.2606
134,7149.3193
135,7019.0156
136,7478.7834
137,6866.5815
138,7242.0371
139,6924.8575
140,10823.1489
141,7093.8842
142,7487.3402
143,10865.293
144,7549.3938
145,10924.2883
146,11000.3833
147,6860.1389
148,6629.4837
149,7839.1884
150,7092.7284
151,7175.093
152,6968.7365
153,6821.1211
154,7031.2697
155,6588.5162
156,6860.7357
157,6760.0302
158,7759.0597
159,6820.59
