Frames#,Latency (ms)
0,6023.1744
1,5980.5004
2,6066.0506
3,6146.5737
4,6225.7853
5,6306.0196
6,6386.4223
7,6467.0035
8,6547.2844
9,6628.2532
10,6704.2392
11,6777.2161
12,6853.272
13,6925.9485
14,7001.7052
15,7080.4746
16,7160.0057
17,7240.2834
18,7320.0823
19,7390.9184
20,7459.4293
21,7539.1624
22,7607.9445
23,7673.5484
24,7737.2813
25,7815.7782
26,7895.9983
27,7976.439
28,8056.775
29,8131.1935
30,8209.1398
31,8290.1236
32,8370.6614
33,8451.6722
34,8532.7415
35,8613.4806
36,8693.0608
37,8844.9562
38,5190.8391
39,8904.5137
40,5251.2375
41,8963.6774
42,9044.3809
43,5290.0571
44,9103.497
45,9178.0884
46,9256.5703
47,9336.3784
48,5277.0849
49,5358.9093
50,9376.7358
51,5419.3001
52,5500.8935
53,9417.145
54,5563.0728
55,5645.1228
56,5726.8872
57,5808.8736
58,9419.3912
59,5871.2207
60,5953.8123
61,6035.9014
62,9443.3706
63,6099.5916
64,9506.731
65,6163.145
66,6245.6385
67,6328.4474
68,9531.146
69,9611.6942
70,9693.8802
71,6349.9024
72,9755.1775
73,9836.13
74,6391.6565
75,9899.2616
76,6455.0167
77,6537.3906
78,6619.2729
79,6700.4135
80,6782.0844
81,6863.9207
82,6945.4442
83,9841.4885
84,9922.8114
85,10003.9899
86,10081.5767
87,6941.5013
88,10142.8981
89,7003.8821
90,10205.107
91,10286.6505
92,7045.7271
93,10348.062
94,10429.9466
95,7088.4617
96,7170.1416
97,10470.958
98,7231.2291
99,7313.3728
100,10513.9645
101,7376.1451
102,10576.4463
103,10658.0541
104,10740.1506
105,10822.1472
106,7379.3079
107,10883.1425
108,7440.6492
109,10945.1481
110,11027.205
111,11109.3659
112,7464.4356
113,11171.5517
114,11249.8484
115,7503.2245
116,7585.4618
117,11293.3864
118,7648.2657
119,11356.1913
120,7711.2718
121,11419.3793
122,7774.381
123,7887.4879
124,11463.7173
125,11545.4905
126,11627.446
127,11709.3629
128,7886.8426
129,7968.0493
130,8050.0336
131,11728.8085
132,11808.9769
133,8090.716
134,8173.2109
135,11852.4074
136,8236.6565
137,8318.931
138,8401.3149
139,11877.7319
140,8464.9436
141,11940.998
142,12025.6137
143,8509.2254
144,8591.5501
145,12069.507
146,12152.1584
147,12234.416
148,8615.8452
149,8697.8989
150,12277.8108
151,8761.0527
152,8843.3157
153,8925.5305
154,9007.9117
155,12283.0208
156,12365.4031
157,12447.8503
158,9032.4689
159,12510.7291
160,12593.2509
161,12675.7022
162,12758.2096
163,12840.8352
164,12923.3537
165,9000.537
166,9080.4316
167,12965.1175
168,13047.6386
169,13130.0344
170,9105.3836
171,9187.8108
172,13173.999
173,9250.8382
174,9332.909
175,9415.2109
176,9497.7122
177,9579.9219
178,13158.8927
179,13238.2531
180,13318.7808
181,9598.5311
182,13382.1084
183,13464.6746
184,9642.9045
185,13528.1793
186,9706.5467
187,13591.814
188,13674.4609
189,9750.6191
190,13737.403
191,13820.2469
192,9795.8166
193,13881.4645
194,13963.9573
195,9838.1876
196,14027.9833
197,14110.7524
198,14193.5457
199,14276.1154
200,9845.0208
201,9927.5884
202,10010.324
203,10091.9685
204,14280.9036
205,14364.95
206,10135.5205
207,14427.4624
208,10198.2736
209,10280.5448
210,10362.7321
211,14451.5326
212,14533.7878
213,10406.4615
214,10488.9081
215,10581.1866
216,10663.4081
217,10745.6571
218,14520.0658
219,10809.0736
220,14583.6279
221,10872.7283
222,14647.4347
223,10936.4289
224,14710.5226
225,10995.903
226,14769.3405
227,11058.2899
228,14832.3935
229,14908.9695
230,14991.4338
231,15073.8534
232,11058.2266
233,11140.6417
234,15117.9676
235,15200.4704
236,15283.1135
237,11165.4638
238,11247.8305
239,15326.9712
240,15409.4555
241,15491.7467
242,15573.6551
243,15655.9763
244,11233.5475
245,15718.8063
246,15801.1637
247,11276.9438
248,15864.5854
249,11340.2814
250,11422.5588
251,11504.896
252,15889.3971
253,15971.9136
254,16054.3816
255,16136.8432
256,16219.1562
257,16301.3363
258,11471.8511
259,11550.5382
260,16341.8448
261,16424.7046
262,16507.2283
263,16589.9287
264,16672.676
265,11539.6021
266,16736.7161
267,11603.6279
268,16800.7563
269,11667.4621
270,11748.648
271,16838.6516
272,16921.4444
273,17004.2806
274,17086.8152
275,17169.7221
276,17252.4012
277,17334.6233
278,11694.6301
279,17399.2253
280,17493.9663
281,11739.9261
282,11822.0796
283,11904.6687
284,17518.8531
285,11968.335
286,12050.8881
287,17563.5589
288,17645.6545
289,17726.1197
290,17805.8203
291,17886.3139
292,17968.3204
293,12011.1796
294,12086.051
295,18003.9892
296,12146.4426
297,12219.6097
298,18034.0388
299,18115.4469
300,18197.8174
301,12241.0224
302,18260.7394
303,18343.362
304,12285.6571
305,12368.1152
306,12450.5921
307,18367.7001
308,12512.7752
309,18430.9306
310,12575.1675
311,18493.115
312,12638.4767
313,18556.1366
314,12699.6478
315,12779.316
316,18595.143
317,12841.9263
318,18658.2407
319,18740.9328
320,18823.5563
321,12874.4781
322,18887.4743
323,18969.4338
324,12918.2926
325,13000.7001
326,19013.7387
327,13064.5134
328,19077.3373
329,19159.0518
330,13108.2905
331,13190.8752
332,19204.0823
333,13254.6729
334,13336.7885
335,19248.5694
336,13400.5306
337,13484.4122
338,19293.7342
339,13548.241
340,19356.892
341,13611.1337
342,13693.4754
343,13775.9054
344,13857.7228
345,19360.5261
346,19442.738
347,13900.1271
348,19505.8168
349,13963.2083
350,14044.7873
351,14126.5962
352,19529.3144
353,19612.0034
354,19694.4184
355,14150.4494
356,14232.7031
357,19737.0302
358,14295.7144
359,14378.2365
360,14460.3215
361,14542.8178
362,19742.7147
363,14606.059
364,19805.6641
365,19883.94
366,14645.674
367,14727.8495
368,19927.406
369,20009.8592
370,20092.1881
371,20176.3924
372,20258.7322
373,14714.6868
374,14797.2343
375,20303.0508
376,20385.1656
377,20467.6352
378,20549.7781
379,20631.8642
380,20714.4463
381,20796.2211
382,14744.8497
383,20858.8745
384,20941.5288
385,14789.9565
386,14872.5313
387,14952.3335
388,15034.46
389,15117.0635
390,15199.5042
391,20907.9021
392,20990.0858
393,21072.7013
394,21155.3159
395,21237.8277
396,21313.8188
397,15161.4708
398,15244.1558
399,21358.0458
400,21440.4745
401,21522.746
402,21604.8111
403,15249.3173
404,15331.2
405,15413.013
406,21628.0682
407,21710.2797
408,21792.207
409,15436.756
410,21854.3276
411,15496.771
412,21913.879
413,21995.922
414,22077.7899
415,22160.213
416,22243.1654
417,15483.1071
418,15564.7678
419,22286.2414
420,22368.2511
421,22449.8802
422,15587.7915
423,22512.0707
424,15649.7231
425,15731.6346
426,22554.6061
427,22636.8325
428,22717.6357
429,22796.4491
430,22878.0427
431,15709.9921
432,15791.9135
433,15872.7621
434,15954.2087
435,22879.1546
436,16015.8771
437,16097.7443
438,22919.6854
439,23000.8581
440,16137.6089
441,16219.3056
442,16301.0246
443,23023.5234
444,23104.4625
445,16341.0719
446,23165.7032
447,16403.1807
448,16484.3633
449,16566.0404
450,16643.924
451,23163.4209
452,23245.0658
453,16685.3787
454,23305.8638
455,23387.7885
456,16726.7135
457,16808.7408
458,16890.436
459,23409.489
460,16952.4104
461,23472.1192
462,17015.5248
463,23535.1858
464,17077.9936
465,23596.855
466,23679.0484
467,17120.614
468,23741.9699
469,23824.0054
470,23904.3371
471,17142.8559
472,17225.1352
473,17307.4
474,23928.3302
475,17369.7596
476,17451.717
477,23971.7775
478,24054.2505
479,17494.757
480,24116.4646
481,17557.2272
482,17639.1047
483,17721.2009
484,17801.1383
485,24114.0948
486,17858.8394
487,24175.536
488,24256.2409
489,24337.5016
490,24418.7128
491,24500.7672
492,17839.5955
493,24562.8702
494,24644.2807
495,17881.025
496,17962.9956
497,24686.4186
498,24763.4039
499,17999.8964
500,24825.1942
501,18062.451
502,24887.7209
503,24969.9881
504,18105.2853
505,18186.7797
506,25012.4835
507,25094.7059
508,18229.8256
509,25156.6605
510,18293.1328
511,25218.6246
512,18355.6271
513,25281.1952
514,25363.2632
515,18399.8149
516,25425.3276
517,25507.4703
518,25589.1925
519,25671.8353
520,18403.4317
521,25734.2952
522,18465.8915
523,18548.162
524,18629.3549
525,25755.1853
526,25848.1422
527,25930.3399
528,18650.4921
529,25993.0366
530,26074.8799
531,26156.1519
532,26237.1419
533,26318.9993
534,18633.3434
535,26381.6924
536,18695.607
537,26443.1815
538,26525.0696
539,26607.0575
540,18718.3203
541,18800.3187
542,26649.7195
543,18862.4471
544,18944.4129
545,19024.0735
546,26670.4327
547,26751.9237
548,26833.9705
549,19046.5865
550,26896.3023
551,19109.0423
552,26958.0956
553,19170.0968
554,19251.6505
555,19333.5775
556,26980.1242
557,19394.1219
558,19475.8026
559,19557.4755
560,27000.168
561,27082.1502
562,19599.3965
563,27144.0738
564,19662.139
565,27206.7579
566,27288.0564
567,27370.1022
568,27451.7996
569,19664.8614
570,19746.9154
571,19827.1926
572,27473.3249
573,27555.0627
574,27637.4523
575,19850.3471
576,27700.658
577,27782.8606
578,19892.664
579,27844.3708
580,19955.6516
581,27907.644
582,20018.6031
583,27970.533
584,28050.1373
585,28132.6492
586,28214.5677
587,28296.5438
588,28377.7572
589,19981.3567
590,20062.8154
591,28420.9732
592,20125.8974
593,28483.5772
594,20188.6507
595,28546.8996
596,20250.9871
597,20333.1402
598,28601.1824
599,20395.1664
600,20476.8873
601,28643.1483
602,28725.2462
603,20519.2624
604,28787.4459
605,28869.4449
606,20563.0808
607,20645.0608
608,28912.0328
609,28993.8768
610,20687.578
611,20769.33
612,29035.7043
613,29117.0661
614,29198.9347
615,20792.3305
616,20874.0325
617,20955.1996
618,29220.9319
619,21017.3401
620,21099.2127
621,21180.9065
622,21262.5655
623,29221.7733
624,29303.4799
625,21300.3225
626,21381.932
627,29342.6959
628,21443.5236
629,29404.3187
630,29486.5637
631,21486.1707
632,21567.7712
633,21648.7702
634,21730.6784
635,21813.1066
636,21894.0892
637,21975.4954
638,22057.2989
639,29409.1517
640,22119.4728
641,29470.0489
642,22180.0324
643,22261.7586
644,22343.0925
645,29491.3023
646,22403.9728
647,29552.0838
648,22465.7456
649,22546.8042
650,22628.1126
651,29572.3144
652,29654.5258
653,29736.3762
654,29817.6568
655,29899.5326
656,22609.69
657,29961.0701
658,30042.7587
659,22650.4438
660,22731.9242
661,30083.7578
662,30165.6197
663,30247.4666
664,22754.1629
665,22836.1254
666,22918.1493
667,23000.682
668,30239.4136
669,30321.9368
670,30404.4477
671,23013.8621
672,23096.3292
673,30448.8952
674,23160.7334
675,23243.1649
676,30493.0888
677,30575.4967
678,23286.4308
679,30637.9411
680,23349.3613
681,23431.2964
682,23513.3778
683,23594.9725
684,30641.4359
685,30723.551
686,30804.7788
687,23617.4825
688,23699.3872
689,23781.2247
690,23863.0491
691,30808.1638
692,23923.7267
693,24005.5229
694,24087.3586
695,24169.4293
696,24251.4489
697,30789.7098
698,30871.7413
699,30954.02
700,24274.545
701,31016.9978
702,24336.8344
703,24419.142
704,31066.171
705,24481.8893
706,24564.146
707,31105.9612
708,24623.3061
709,31167.097
710,24679.8749
711,24761.7714
712,24843.6933
713,24925.8118
714,25008.3122
715,25090.4687
716,25172.8234
717,25254.6423
718,25335.9441
719,25418.16
720,25500.4131
721,25582.8849
722,25665.1437
723,30992.0516
724,25727.4915
725,31055.3544
726,25790.6242
727,25873.0427
728,31099.5532
729,31181.8919
730,31264.2562
731,31346.4251
732,25879.0589
733,25961.4433
734,31390.6297
735,26026.3274
736,26108.5009
737,26190.0246
738,26272.1759
739,26354.6062
740,31376.8384
741,31458.9684
742,26397.6897
743,26479.6057
744,31501.8596
745,31583.9882
746,26522.9394
747,26605.1516
748,31627.4438
749,31708.9281
750,31790.7916
751,31869.0933
752,26604.012
753,26678.5736
754,26760.4043
755,26842.6933
756,26925.0643
757,31843.9614
758,31926.1591
759,26967.3715
760,27049.7853
761,27131.9749
762,31950.1287
763,27194.7537
764,32012.9766
765,32095.2579
766,27238.6277
767,32158.129
768,32239.8786
769,27281.558
770,32301.8381
771,32384.2151
772,27324.3391
773,32447.048
774,32528.8818
775,32610.9094
776,32692.9124
777,27323.5406
778,27399.1231
779,27471.5427
780,27550.5578
781,27633.2634
782,27715.6714
783,27797.3912
784,32615.9291
785,27860.9356
786,32679.4036
787,27924.2048
788,28006.8358
789,28089.1682
790,28171.4053
791,28253.9907
792,32665.5153
793,32747.1278
794,28296.3543
795,32810.7499
796,28360.3496
797,32874.1928
798,32956.8278
799,33039.4588
800,33121.9461
801,33204.4833
802,28346.8829
803,28428.5526
804,33247.071
805,33329.1721
806,33411.3689
807,28451.9486
808,33473.5665
809,33556.418
810,28493.4498
811,28575.6476
812,33599.2744
813,33681.3427
814,28618.589
815,28700.5261
816,33724.1672
817,33806.0512
818,33887.9483
819,33970.0663
820,28702.6244
821,34030.7965
822,28765.4785
823,28847.88
824,34074.553
825,28910.6324
826,28992.4737
827,29075.558
828,34097.9932
829,29139.5988
830,34160.6368
831,29202.3641
832,34223.4132
833,34305.6467
834,29243.6172
835,29318.9178
836,34339.9967
837,34422.1253
838,34504.335
839,29342.6413
840,34566.2517
841,34648.2826
842,34730.3057
843,29365.49
844,29447.3294
845,29529.2433
846,29610.9159
847,29693.1196
848,29774.9207
849,29857.421
850,34675.6812
851,29920.3806
852,34738.202
853,34820.3131
854,34902.6112
855,29944.0901
856,30026.002
857,30107.9766
858,30189.6678
859,30271.8587
860,30351.4596
861,30433.9205
862,30516.491
863,34827.6807
864,34910.0909
865,34992.5366
866,30541.8859
867,30624.6397
868,30707.3167
869,35018.5085
870,35101.0828
871,35183.5938
872,35266.0814
873,35348.7094
874,30695.6808
875,30778.4168
876,35393.953
877,30842.2799
878,35457.8666
879,30904.071
880,30983.5138
881,35496.8277
882,31046.4678
883,31128.8782
884,35541.051
885,31192.0899
886,35603.724
887,31254.6825
888,31337.0015
889,31419.5032
890,31501.9782
891,35608.795
892,35690.7909
893,31544.8237
894,35753.0657
895,31607.2946
896,35816.0167
897,35898.2179
898,31650.5468
899,35961.5468
900,36043.9188
901,36126.4742
902,31675.0755
903,36189.3824
904,36271.8418
905,36354.4252
906,31701.1436
907,36430.4713
908,31764.6299
909,31846.4829
910,31944.3137
911,32026.9291
912,36436.6689
913,36519.1497
914,36601.6289
915,32052.4017
916,32134.3728
917,36645.8739
918,36728.2339
919,32178.9558
920,36791.9593
921,36874.3734
922,36957.1066
923,37039.6118
924,37121.7344
925,37203.7729
926,32147.486
927,37267.4301
928,32205.9241
929,32288.1578
930,32370.6684
931,37287.9834
932,37370.7346
933,32416.0017
934,37434.6832
935,32477.7289
936,37495.4315
937,32541.3374
938,32624.0815
939,32706.5781
940,32786.9
941,32868.6554
942,32951.2929
943,33033.9404
944,37442.096
945,37524.414
946,37606.4901
947,33058.6332
948,33140.9478
949,37650.0035
950,33203.6581
951,33285.7347
952,33367.9906
953,37674.6553
954,37756.9464
955,37839.1227
956,33392.6743
957,33474.7989
958,33557.1596
959,37863.8053
960,37946.0044
961,38028.0918
962,38110.7456
963,33563.1701
964,33645.8927
965,38155.426
966,38237.4339
967,38319.1148
968,33669.0258
969,38382.4536
970,33732.1834
971,38445.7027
972,38527.7834
973,33776.0196
974,33858.3662
975,33937.1939
976,38548.2613
977,38606.0182
978,38688.3693
979,38770.7546
980,38853.3261
981,33899.6436
982,33982.219
983,38898.5302
984,38981.4805
985,34027.568
986,39045.6188
987,39128.2866
988,39211.1653
989,39293.7597
990,34035.8698
991,34118.2143
992,34200.411
993,34282.8378
994,39300.7069
995,34346.7262
996,34429.246
997,34512.1292
998,39327.2026
999,39409.766
1000,34557.2134
1001,34639.5996
1002,34722.0213
1003,34804.4428
1004,34886.8317
1005,34969.3944
1006,35051.7317
1007,35135.4521
1008,39339.1475
1009,39421.5546
1010,35179.5779
1011,39484.7633
1012,39573.9962
1013,35222.1961
1014,35304.3073
1015,35386.4127
1016,39597.767
1017,35448.5781
1018,35529.422
1019,39639.1748
1020,39721.0484
1021,35571.7191
1022,39777.8199
1023,39859.7974
1024,35609.1889
1025,35691.0986
1026,39902.3159
1027,39983.9591
1028,35732.8502
1029,35814.9273
1030,35896.8088
1031,35978.7585
1032,36060.7256
1033,39966.4503
1034,40047.4708
1035,40129.2878
1036,36082.544
1037,36164.3532
1038,40171.4976
1039,36226.4368
1040,36308.3506
1041,36390.0515
1042,40192.9928
1043,36451.1544
1044,36532.9091
1045,36614.8851
1046,36696.5073
1047,40194.5146
1048,40276.2662
1049,40357.3739
1050,40439.0351
1051,36697.5968
1052,36779.5256
1053,40480.9378
1054,36841.0465
1055,36922.8598
1056,40522.7489
1057,36984.626
1058,37062.1047
1059,40560.5037
1060,40642.748
1061,37104.9821
1062,40705.593
1063,37167.8627
1064,37249.8152
1065,40749.0767
1066,40831.3752
1067,40913.4502
1068,40995.5007
1069,41077.7831
1070,41159.895
1071,37215.2195
1072,41222.6695
1073,41304.3867
1074,41386.3794
1075,41468.4983
1076,41550.6591
1077,41632.8121
1078,37179.7757
1079,37258.9351
1080,41672.648
1081,41754.6675
1082,41836.5817
1083,37281.2005
1084,37362.9277
1085,41877.3061
1086,37423.678
1087,41939.1303
1088,42021.7664
1089,37464.0543
1090,42082.3486
1091,37525.333
1092,42144.1184
1093,37588.289
1094,37669.8085
1095,42185.2472
1096,42266.8887
1097,42348.3403
1098,42428.7784
1099,42508.9332
1100,42590.7756
1101,37628.4562
1102,37710.4587
1103,37792.3029
1104,37874.2704
1105,42593.5544
1106,37936.6902
1107,38018.7455
1108,42636.3776
1109,42717.6912
1110,38060.4732
1111,38142.5483
1112,38224.5508
1113,38306.5107
1114,38389.2144
1115,42701.5407
1116,42783.4275
1117,38431.8883
1118,38513.8131
1119,42825.9057
1120,38575.8435
1121,42888.3663
1122,42970.5969
1123,38619.6957
1124,43033.3168
1125,43115.4657
1126,38662.8381
1127,38744.9692
1128,43158.9228
1129,38803.8609
1130,38885.4132
1131,43197.7916
1132,38948.4523
1133,39030.6265
1134,43240.6517
1135,43321.5649
1136,43403.8185
1137,39052.9419
1138,43466.5875
1139,43548.6399
1140,39095.1849
1141,43609.8835
1142,43685.6941
1143,43767.765
1144,43849.2406
1145,39091.5071
1146,43911.3333
1147,39154.094
1148,43973.628
1149,39216.2243
1150,39298.2571
1151,39380.2676
1152,39462.0351
1153,39543.9496
1154,43956.4786
1155,44033.053
1156,44114.936
1157,44196.4286
1158,39540.41
1159,44258.407
1160,39602.407
1161,39684.137
1162,44300.7358
1163,44382.8413
1164,39727.19
1165,39806.7255
1166,44424.2333
1167,39867.1728
1168,39949.3779
1169,40031.2205
1170,44446.4748
1171,40093.7603
1172,44508.6303
1173,40156.7568
1174,44571.1158
1175,44653.0626
1176,44735.1801
1177,44817.2302
1178,40160.7468
1179,40242.6937
1180,40324.8782
1181,44840.696
1182,44922.7498
1183,45004.4929
1184,45086.3467
1185,45166.5134
1186,40319.628
1187,40398.2638
1188,45203.3742
1189,45285.6747
1190,45368.0685
1191,40419.5794
1192,45430.533
1193,45512.3928
1194,45594.7526
1195,45677.0954
1196,40424.1662
1197,40506.0554
1198,40588.372
1199,40669.423
1200,45678.7872
1201,45760.7669
1202,45842.607
1203,40690.4642
1204,40772.2129
1205,45885.0673
1206,45967.2349
1207,46049.2794
1208,46131.6174
1209,40774.9731
1210,46193.5818
1211,46275.7491
1212,40817.769
1213,40899.7671
1214,40981.9695
1215,41064.0228
1216,46279.3452
1217,46362.6841
1218,41106.5711
1219,41188.3483
1220,46404.7034
1221,41250.5873
1222,41332.3257
1223,41414.1216
1224,41495.9949
1225,46406.4376
1226,41557.4821
1227,41639.9419
1228,46445.0115
1229,41695.5541
1230,41777.4186
1231,46483.4313
1232,46565.303
1233,46645.9761
1234,41798.1842
1235,41879.3722
1236,46687.5979
1237,41941.8598
1238,46749.7235
1239,46831.7749
1240,46913.3354
1241,41963.867
1242,46977.2849
1243,47058.862
1244,42005.5702
1245,47120.5104
1246,42067.6813
1247,47182.2859
1248,42129.5581
1249,42212.0619
1250,42293.9121
1251,42375.796
1252,47184.1825
1253,42437.1224
1254,42518.9314
1255,47225.4942
1256,42580.4147
1257,42662.1142
1258,47265.9579
1259,42722.7808
1260,47328.309
1261,42787.0474
1262,42869.3164
1263,47371.4615
1264,47453.564
1265,42912.5551
1266,47516.6268
1267,42975.4769
1268,43057.4578
1269,47557.7477
1270,43114.5963
1271,47617.1842
1272,43177.794
1273,43259.8767
1274,47660.5873
1275,43322.7051
1276,43404.9516
1277,43487.3087
1278,43569.542
1279,47666.3613
1280,47746.585
1281,47826.165
1282,47908.5739
1283,43569.4508
1284,47970.6139
1285,43630.1789
1286,43712.148
1287,43794.1571
1288,47992.3679
1289,43856.2445
1290,43938.6538
1291,48034.8813
1292,48116.6783
1293,48198.6999
1294,43961.1027
1295,48260.5157
1296,48342.597
1297,44003.4125
1298,48404.5412
1299,44065.8394
1300,44147.5355
1301,48448.1794
1302,48529.848
1303,44190.482
1304,44272.4568
1305,44354.4505
1306,48553.4548
1307,44416.8222
1308,44499.0018
1309,48596.1355
1310,48678.3423
1311,44541.524
1312,44623.5942
1313,48721.1462
1314,44686.0222
1315,44763.5513
1316,48759.5857
1317,48841.4567
1318,44805.9719
1319,48903.1598
1320,44868.1918
1321,48965.3046
1322,44930.1121
1323,45012.6861
1324,49008.4016
1325,45074.9026
1326,49070.5094
1327,45137.7508
1328,45219.9775
1329,49114.2898
1330,45282.6706
1331,45364.2965
1332,49156.9518
1333,49238.8831
1334,49321.5368
1335,45388.1471
1336,49384.5904
1337,45451.1578
1338,49450.5906
1339,45513.5753
1340,45596.1002
1341,49493.1648
1342,45658.4483
1343,45740.4906
1344,49536.0079
1345,45801.9229
1346,45886.7277
1347,49578.3536
1348,45949.3763
1349,49640.8202
1350,49722.4791
1351,45992.0753
1352,49784.8734
1353,49866.5633
1354,49948.0549
1355,46014.4347
1356,50009.7909
1357,46076.6314
1358,46159.2083
1359,50052.4587
1360,46221.4912
1361,50109.6996
1362,50191.8631
1363,50274.1496
1364,46240.2211
1365,46322.0386
1366,50317.1442
1367,46384.9049
1368,50379.8675
1369,50461.4086
1370,46427.1857
1371,50523.2797
1372,46489.4958
1373,50586.0267
1374,50667.9082
1375,50749.8888
1376,46511.689
1377,50811.0226
1378,46573.2357
1379,46655.2156
1380,46737.6259
1381,50834.4577
1382,50916.2642
1383,46781.1158
1384,46863.5218
1385,46945.8733
1386,47028.3436
1387,50922.7352
1388,51005.996
1389,51088.2918
1390,47052.8958
1391,51148.2228
1392,51229.9183
1393,47092.1914
1394,51291.4717
1395,47154.4592
1396,47236.5207
1397,47318.3031
1398,47400.7798
1399,47483.2384
1400,47565.2799
1401,47647.3038
1402,47729.9425
1403,51217.2052
1404,47792.5556
1405,51275.4541
1406,51357.5221
1407,47830.2063
1408,51419.045
1409,47892.5905
1410,51481.0697
1411,47954.5694
1412,48036.7043
1413,48119.1805
1414,48201.4398
1415,51484.6689
1416,51566.7246
1417,51648.6058
1418,48224.5753
1419,51711.0145
1420,51790.696
1421,51866.8594
1422,48237.9834
1423,51927.8398
1424,52010.0725
1425,48280.4273
1426,52071.98
1427,52153.3622
1428,52235.248
1429,48302.9714
1430,52297.5013
1431,48365.448
1432,48447.5507
1433,52336.6959
1434,48513.2236
1435,48592.2704
1436,48673.49
1437,48755.0782
1438,48835.2314
1439,48917.0813
